zip,diabetes_slope,disabled_slope,employed_slope,healthindex_slope,hibp_slope,kidney_slope,bipoc_slope,nodoc_slope
96797,0.25,0.5226190476,-1.033333333,-2.520629371,0.025,0.01,0.02,-0.045
96813,-0.01,0.1857142857,-0.008333333333,-2.302797203,-0.65,0.01,0.43,0.025
96814,0.38,0.1392857143,0.2226190476,-2.115734266,0,0.01,,
96815,0.27,-0.1178571429,-0.7035714286,0.4454545455,0.225,-0.01,0.37,0.125
96816,0.03,-0.01785714286,-0.5273809524,-1.602097902,-0.425,0.02,,
96817,0.02,0.3238095238,-0.7845238095,-2.02972028,-0.575,-0.05,0.21,-0.075
96818,0.13,0.07619047619,-0.7416666667,-2.334615385,-0.25,-0.02,,
96819,0.11,0.305952381,-0.6678571429,-2.153146853,-0.475,-0.02,-0.16,-0.1375
96821,0.24,0.1380952381,-0.5666666667,-1.047552448,-0.15,0.04,,
96822,0.25,0.230952381,-0.2607142857,-1.74020979,0,0.01,,
96825,0.22,0.0869047619,-1.116666667,-1.143006993,-0.05,0.02,0.26,0.085
96826,0.14,0.3583333333,-0.5178571429,-2.728321678,-0.2,-0.05,0.09,0.0325
96848,,5.05,7.55,,,,,
96853,1,,-0.3952380952,2.017132867,3.4,-0.04,,
96857,0.08,,0.0380952381,-0.1341935484,-0.05,-0.04,,
96858,,,3.05,,,,,
96859,-0.09,,0,,-0.3,-0.04,,
96860,0.14,,0.8547619048,-2.596153846,0.125,-0.04,,
96863,-0.22,,0.4869047619,,-1.375,-0.01,,
