"Site Region","Measurement Period: 2014"
"Index values are not comparable across measurement periods. Index values and rankings are specific to a measurement period, showing the relative ranking of a location in comparison to other similar locations at that time."
Zip Code,Index,Rank,County
"96857","67.5","5","Honolulu"
"96748","63.1","5","Maui"
"96785","61.5","5","Hawaii"
"96778","61.4","5","Hawaii"
"96757","61.0","5","Maui"
"96729","60.3","5","Maui"
"96770","59.1","5","Maui"
"96772","58.8","5","Hawaii"
"96771","58.7","5","Hawaii"
"96783","57.7","5","Hawaii"
"96792","57.3","5","Honolulu"
"96777","55.5","4","Hawaii"
"96749","54.8","4","Hawaii"
"96760","54.8","4","Hawaii"
"96704","53.2","4","Hawaii"
"96781","52.8","4","Hawaii"
"96786","51.0","4","Honolulu"
"96719","50.0","4","Hawaii"
"96720","48.6","3","Hawaii"
"96703","48.1","3","Kauai"
"96717","48.1","3","Honolulu"
"96860","47.9","3","Honolulu"
"96755","47.7","3","Hawaii"
"96752","47.6","3","Kauai"
"96774","47.6","3","Hawaii"
"96780","47.5","3","Hawaii"
"96728","47.2","3","Hawaii"
"96727","47.1","3","Hawaii"
"96776","47.1","3","Hawaii"
"96853","47.1","3","Honolulu"
"96710","47.0","3","Hawaii"
"96732","46.5","3","Maui"
"96795","45.6","3","Honolulu"
"96796","45.6","3","Kauai"
"96713","45.2","3","Maui"
"96769","45.1","3","Kauai"
"96708","44.9","3","Maui"
"96725","44.6","3","Hawaii"
"96731","44.6","3","Honolulu"
"96705","44.5","3","Kauai"
"96747","44.4","3","Kauai"
"96753","44.4","3","Maui"
"96754","44.4","3","Kauai"
"96764","44.2","3","Hawaii"
"96817","43.5","3","Honolulu"
"96766","43.3","3","Kauai"
"96722","43.1","3","Kauai"
"96712","42.9","2","Honolulu"
"96746","42.5","2","Kauai"
"96819","42.5","2","Honolulu"
"96763","42.2","2","Maui"
"96791","41.8","2","Honolulu"
"96768","41.7","2","Maui"
"96740","41.4","2","Hawaii"
"96743","41.4","2","Hawaii"
"96750","41.2","2","Hawaii"
"96756","41.0","2","Kauai"
"96793","40.8","2","Maui"
"96741","40.7","2","Kauai"
"96762","40.7","2","Honolulu"
"96738","40.3","2","Hawaii"
"96782","40.1","2","Honolulu"
"96730","39.3","2","Honolulu"
"96818","39.3","2","Honolulu"
"96716","39.0","2","Kauai"
"96734","39.0","2","Honolulu"
"96761","38.9","2","Maui"
"96826","38.5","2","Honolulu"
"96790","38.1","2","Maui"
"96813","38.0","2","Honolulu"
"96706","37.7","2","Honolulu"
"96744","37.7","2","Honolulu"
"96797","37.6","2","Honolulu"
"96814","37.3","2","Honolulu"
"96815","36.6","1","Honolulu"
"96779","36.1","1","Maui"
"96707","35.6","1","Honolulu"
"96701","35.3","1","Honolulu"
"96816","35.2","1","Honolulu"
"96822","34.8","1","Honolulu"
"96789","33.8","1","Honolulu"
"96825","29.7","1","Honolulu"
"96821","26.8","1","Honolulu"
