"Site Region","Measurement Period: 2015"
"Index values are not comparable across measurement periods. Index values and rankings are specific to a measurement period, showing the relative ranking of a location in comparison to other similar locations at that time."
Zip Code,Index,Rank,County
"96778","93.7","5","Hawaii"
"96729","90.6","5","Maui"
"96757","90.2","5","Maui"
"96770","90.1","5","Maui"
"96783","88.8","5","Hawaii"
"96748","86.4","5","Maui"
"96760","86.3","5","Hawaii"
"96749","86.1","5","Hawaii"
"96772","85.8","5","Hawaii"
"96771","85.7","5","Hawaii"
"96785","83.2","5","Hawaii"
"96792","81.5","5","Honolulu"
"96781","79.6","5","Hawaii"
"96704","77.0","5","Hawaii"
"96777","74.4","5","Hawaii"
"96786","63.8","4","Honolulu"
"96703","63.5","4","Kauai"
"96769","61.9","4","Kauai"
"96732","60.0","4","Maui"
"96817","57.6","4","Honolulu"
"96719","55.0","4","Hawaii"
"96763","54.6","4","Maui"
"96755","54.0","4","Hawaii"
"96728","52.9","4","Hawaii"
"96717","52.5","4","Honolulu"
"96819","52.0","4","Honolulu"
"96710","50.4","4","Hawaii"
"96713","50.4","4","Maui"
"96720","49.7","4","Hawaii"
"96727","46.8","3","Hawaii"
"96725","46.1","3","Hawaii"
"96747","46.0","3","Kauai"
"96780","44.8","3","Hawaii"
"96752","44.7","3","Kauai"
"96853","44.0","3","Honolulu"
"96774","42.7","3","Hawaii"
"96731","41.3","3","Honolulu"
"96766","38.6","3","Kauai"
"96754","38.1","3","Kauai"
"96705","37.9","3","Kauai"
"96860","37.3","3","Honolulu"
"96722","37.0","3","Kauai"
"96750","36.7","3","Hawaii"
"96740","36.6","3","Hawaii"
"96746","36.3","3","Kauai"
"96753","36.0","3","Maui"
"96796","35.0","3","Kauai"
"96708","34.0","3","Maui"
"96776","33.5","3","Hawaii"
"96826","33.3","3","Honolulu"
"96795","33.0","3","Honolulu"
"96741","31.3","2","Kauai"
"96743","30.8","2","Hawaii"
"96814","30.8","2","Honolulu"
"96791","29.6","2","Honolulu"
"96793","29.6","2","Maui"
"96764","29.5","2","Hawaii"
"96712","28.7","2","Honolulu"
"96815","28.4","2","Honolulu"
"96768","27.9","2","Maui"
"96818","26.5","2","Honolulu"
"96797","26.0","2","Honolulu"
"96762","24.7","2","Honolulu"
"96716","22.8","2","Kauai"
"96761","22.8","2","Maui"
"96779","22.5","2","Maui"
"96813","22.5","2","Honolulu"
"96756","22.2","2","Kauai"
"96782","21.8","2","Honolulu"
"96706","21.6","2","Honolulu"
"96738","18.5","2","Hawaii"
"96730","17.8","1","Honolulu"
"96822","15.5","1","Honolulu"
"96790","15.1","1","Maui"
"96701","12.1","1","Honolulu"
"96816","11.2","1","Honolulu"
"96734","10.7","1","Honolulu"
"96744","10.1","1","Honolulu"
"96707","9.4","1","Honolulu"
"96789","6.3","1","Honolulu"
"96825","3.4","1","Honolulu"
"96821","1.6","1","Honolulu"
