"Site Region","Measurement Period: 2017"
"Index values are not comparable across measurement periods. Index values and rankings are specific to a measurement period, showing the relative ranking of a location in comparison to other similar locations at that time."
Zip Code,Index,Rank,County
"96778","90.7","5","Hawaii"
"96770","86.7","5","Maui"
"96792","82.0","5","Honolulu"
"96783","79.1","5","Hawaii"
"96760","78.5","5","Hawaii"
"96771","77.3","5","Hawaii"
"96729","77.0","5","Maui"
"96785","74.0","5","Hawaii"
"96777","73.6","5","Hawaii"
"96757","70.7","5","Maui"
"96774","69.6","5","Hawaii"
"96780","67.8","4","Hawaii"
"96772","65.6","4","Hawaii"
"96769","64.1","4","Kauai"
"96817","62.2","4","Honolulu"
"96748","61.8","4","Maui"
"96781","61.8","4","Hawaii"
"96749","60.8","4","Hawaii"
"96704","60.7","4","Hawaii"
"96732","57.4","4","Maui"
"96703","56.9","4","Kauai"
"96719","56.0","4","Hawaii"
"96764","53.4","4","Hawaii"
"96755","52.3","4","Hawaii"
"96710","50.4","3","Hawaii"
"96728","49.6","3","Hawaii"
"96725","48.8","3","Hawaii"
"96763","47.9","3","Maui"
"96786","47.7","3","Honolulu"
"96713","46.4","3","Maui"
"96819","45.3","3","Honolulu"
"96747","45.2","3","Kauai"
"96731","44.8","3","Honolulu"
"96776","43.2","3","Hawaii"
"96727","43.1","3","Hawaii"
"96720","42.5","3","Hawaii"
"96705","39.1","3","Kauai"
"96826","39.0","3","Honolulu"
"96717","37.2","3","Honolulu"
"96740","35.6","3","Hawaii"
"96752","34.7","3","Kauai"
"96766","34.4","3","Kauai"
"96754","34.1","3","Kauai"
"96814","33.5","3","Honolulu"
"96795","32.2","2","Honolulu"
"96753","31.1","2","Maui"
"96768","30.9","2","Maui"
"96793","28.0","2","Maui"
"96746","27.5","2","Kauai"
"96741","27.2","2","Kauai"
"96790","26.8","2","Maui"
"96761","26.4","2","Maui"
"96797","25.7","2","Honolulu"
"96815","24.5","2","Honolulu"
"96743","24.4","2","Hawaii"
"96712","24.3","2","Honolulu"
"96791","23.6","2","Honolulu"
"96796","23.4","2","Kauai"
"96750","23.1","2","Hawaii"
"96756","22.3","2","Kauai"
"96708","21.8","2","Maui"
"96730","21.6","2","Honolulu"
"96818","21.6","2","Honolulu"
"96779","21.5","2","Maui"
"96716","21.1","2","Kauai"
"96722","20.5","2","Kauai"
"96822","20.2","2","Honolulu"
"96762","18.7","2","Honolulu"
"96782","18.0","2","Honolulu"
"96813","18.0","2","Honolulu"
"96860","18.0","2","Honolulu"
"96706","17.1","2","Honolulu"
"96738","16.2","2","Hawaii"
"96853","12.3","1","Honolulu"
"96744","11.0","1","Honolulu"
"96816","10.2","1","Honolulu"
"96701","10.1","1","Honolulu"
"96707","9.6","1","Honolulu"
"96789","7.3","1","Honolulu"
"96734","6.2","1","Honolulu"
"96825","3.4","1","Honolulu"
"96821","1.8","1","Honolulu"
