"Site Region","Measurement Period: 2016"
"Index values are not comparable across measurement periods. Index values and rankings are specific to a measurement period, showing the relative ranking of a location in comparison to other similar locations at that time."
Zip Code,Index,Rank,County
"96778","93.4","5","Hawaii"
"96760","87.6","5","Hawaii"
"96771","87.2","5","Hawaii"
"96785","85.3","5","Hawaii"
"96792","82.6","5","Honolulu"
"96770","82.5","5","Maui"
"96783","82.3","5","Hawaii"
"96772","79.9","5","Hawaii"
"96777","77.6","5","Hawaii"
"96729","75.9","5","Maui"
"96749","75.8","5","Hawaii"
"96704","74.4","5","Hawaii"
"96757","71.3","4","Maui"
"96774","69.1","4","Hawaii"
"96748","68.4","4","Maui"
"96780","67.6","4","Hawaii"
"96781","67.4","4","Hawaii"
"96817","60.0","4","Honolulu"
"96719","59.6","4","Hawaii"
"96769","58.4","4","Kauai"
"96725","58.0","4","Hawaii"
"96727","52.5","4","Hawaii"
"96755","50.9","3","Hawaii"
"96720","48.0","3","Hawaii"
"96786","47.9","3","Honolulu"
"96703","47.5","3","Kauai"
"96705","47.0","3","Kauai"
"96728","45.2","3","Hawaii"
"96764","45.0","3","Hawaii"
"96717","42.4","3","Honolulu"
"96763","41.9","3","Maui"
"96740","41.1","3","Hawaii"
"96710","41.0","3","Hawaii"
"96826","40.5","3","Honolulu"
"96732","40.2","3","Maui"
"96731","39.4","3","Honolulu"
"96776","37.4","3","Hawaii"
"96746","37.2","3","Kauai"
"96752","36.8","3","Kauai"
"96819","36.5","3","Honolulu"
"96747","36.1","3","Kauai"
"96750","34.7","3","Hawaii"
"96741","34.5","3","Kauai"
"96743","33.3","3","Hawaii"
"96814","33.1","3","Honolulu"
"96754","28.8","2","Kauai"
"96795","28.7","2","Honolulu"
"96766","28.3","2","Kauai"
"96713","27.4","2","Maui"
"96738","27.2","2","Hawaii"
"96722","26.0","2","Kauai"
"96753","25.5","2","Maui"
"96756","25.1","2","Kauai"
"96815","23.7","2","Honolulu"
"96730","23.6","2","Honolulu"
"96796","23.3","2","Kauai"
"96762","22.4","2","Honolulu"
"96779","21.8","2","Maui"
"96797","21.7","2","Honolulu"
"96818","21.2","2","Honolulu"
"96793","20.3","2","Maui"
"96791","19.9","2","Honolulu"
"96716","19.8","2","Kauai"
"96768","19.8","2","Maui"
"96813","19.0","2","Honolulu"
"96712","17.1","2","Honolulu"
"96761","16.2","1","Maui"
"96708","15.8","1","Maui"
"96706","15.5","1","Honolulu"
"96790","15.1","1","Maui"
"96860","14.9","1","Honolulu"
"96822","14.4","1","Honolulu"
"96782","13.2","1","Honolulu"
"96853","12.6","1","Honolulu"
"96744","8.8","1","Honolulu"
"96816","8.6","1","Honolulu"
"96701","8.4","1","Honolulu"
"96707","7.4","1","Honolulu"
"96734","6.2","1","Honolulu"
"96789","5.5","1","Honolulu"
"96825","2.5","1","Honolulu"
"96821","1.2","1","Honolulu"
