NAME,Median_Household_Income,Unemployment_Rate_Pct,Pct_Over_65,Pct_Native_Hawaiian_PI,Total_Population,zip code tabulation area,Year
ZCTA5 96701,108261,5.1,22.5,3.2,41560,96701,2022
ZCTA5 96703,88000,5.6,20.6,1.3,3133,96703,2022
ZCTA5 96704,84286,8.4,26.8,9.0,8543,96704,2022
ZCTA5 96705,103409,2.0,12.0,0.5,2299,96705,2022
ZCTA5 96706,118316,3.5,11.0,6.4,82504,96706,2022
ZCTA5 96707,116075,5.7,11.6,3.3,49623,96707,2022
ZCTA5 96708,94075,6.9,17.5,4.1,11511,96708,2022
ZCTA5 96710,127250,22.1,31.8,25.8,267,96710,2022
ZCTA5 96712,100039,6.2,22.5,6.4,8359,96712,2022
ZCTA5 96713,49583,14.4,27.4,0.0,902,96713,2022
ZCTA5 96714,121838,6.0,22.6,0.1,1278,96714,2022
ZCTA5 96716,88490,6.3,17.8,0.0,2284,96716,2022
ZCTA5 96717,95568,6.3,12.5,6.7,4555,96717,2022
ZCTA5 96719,74896,14.5,29.6,2.5,1318,96719,2022
ZCTA5 96720,75265,6.6,22.3,3.3,50453,96720,2022
ZCTA5 96722,86985,5.0,32.0,7.9,2141,96722,2022
ZCTA5 96725,86286,5.8,24.4,9.9,4610,96725,2022
ZCTA5 96726,-666666666,0.0,100.0,0.0,32,96726,2022
ZCTA5 96727,72328,10.4,18.0,3.9,4721,96727,2022
ZCTA5 96728,69306,4.1,22.8,3.6,413,96728,2022
ZCTA5 96729,46111,2.9,19.1,1.9,1436,96729,2022
ZCTA5 96730,129643,4.9,12.9,1.2,1463,96730,2022
ZCTA5 96731,73750,10.3,14.3,2.3,2742,96731,2022
ZCTA5 96732,98520,3.7,21.3,3.4,25902,96732,2022
ZCTA5 96734,121536,3.7,16.9,5.5,51966,96734,2022
ZCTA5 96737,37119,11.9,23.2,3.3,3556,96737,2022
ZCTA5 96738,97083,9.7,19.0,7.3,7797,96738,2022
ZCTA5 96740,90094,3.6,21.0,5.9,40886,96740,2022
ZCTA5 96741,97212,4.5,22.3,3.8,6231,96741,2022
ZCTA5 96742,87813,0.0,22.0,0.0,50,96742,2022
ZCTA5 96743,101730,5.7,22.4,4.3,13589,96743,2022
ZCTA5 96744,124247,3.9,23.0,4.0,55888,96744,2022
ZCTA5 96746,90939,3.3,21.7,5.7,20473,96746,2022
ZCTA5 96747,82652,1.9,18.8,0.0,1498,96747,2022
ZCTA5 96748,71125,10.1,21.7,0.2,4827,96748,2022
ZCTA5 96749,76762,3.0,21.0,3.0,18482,96749,2022
ZCTA5 96750,81726,1.8,26.8,13.3,3557,96750,2022
ZCTA5 96751,87852,0.0,43.9,0.0,155,96751,2022
ZCTA5 96752,72279,1.9,19.0,3.0,3221,96752,2022
ZCTA5 96753,89776,6.4,19.8,7.8,28909,96753,2022
ZCTA5 96754,84375,3.5,22.5,2.9,4397,96754,2022
ZCTA5 96755,89240,4.6,31.5,10.1,3386,96755,2022
ZCTA5 96756,87833,7.7,25.8,5.8,5804,96756,2022
ZCTA5 96757,72679,9.8,28.0,0.0,739,96757,2022
ZCTA5 96759,-666666666,0.0,31.8,0.0,277,96759,2022
ZCTA5 96760,85588,6.3,23.3,3.2,3908,96760,2022
ZCTA5 96761,92889,6.6,18.2,10.8,23214,96761,2022
ZCTA5 96762,108750,8.4,7.2,3.1,5774,96762,2022
ZCTA5 96763,80536,2.4,20.7,5.8,3218,96763,2022
ZCTA5 96764,70294,12.1,22.6,0.0,495,96764,2022
ZCTA5 96765,81346,21.9,19.8,6.7,733,96765,2022
ZCTA5 96766,88449,3.2,18.8,3.0,17604,96766,2022
ZCTA5 96768,113528,3.6,20.3,9.5,18662,96768,2022
ZCTA5 96769,-666666666,8.5,19.7,0.6,309,96769,2022
ZCTA5 96770,52656,16.1,29.5,1.3,465,96770,2022
ZCTA5 96771,57116,12.3,15.3,1.4,7238,96771,2022
ZCTA5 96772,58512,8.9,28.2,7.9,2716,96772,2022
ZCTA5 96773,-666666666,0.0,18.2,0.0,154,96773,2022
ZCTA5 96774,52792,20.5,47.6,0.0,294,96774,2022
ZCTA5 96776,67951,5.6,21.8,5.0,1507,96776,2022
ZCTA5 96777,55395,19.6,19.2,0.0,1949,96777,2022
ZCTA5 96778,39010,11.6,21.4,4.1,14310,96778,2022
ZCTA5 96779,107083,11.6,17.4,4.9,2489,96779,2022
ZCTA5 96780,35221,17.7,29.0,4.8,459,96780,2022
ZCTA5 96781,92188,3.5,17.9,7.9,1629,96781,2022
ZCTA5 96782,105142,2.9,23.7,6.1,38674,96782,2022
ZCTA5 96783,64191,11.6,16.4,3.3,1674,96783,2022
ZCTA5 96785,68555,3.5,33.5,9.2,4220,96785,2022
ZCTA5 96786,77287,5.5,10.7,5.7,42778,96786,2022
ZCTA5 96789,119475,2.8,18.7,4.0,54362,96789,2022
ZCTA5 96790,95990,5.6,24.1,3.7,9077,96790,2022
ZCTA5 96791,91299,3.7,23.3,3.9,6419,96791,2022
ZCTA5 96792,79575,10.8,13.0,3.4,51367,96792,2022
ZCTA5 96793,107101,4.1,16.1,4.4,33414,96793,2022
ZCTA5 96795,117734,4.4,19.0,4.5,10307,96795,2022
ZCTA5 96796,95972,4.8,23.8,0.2,1951,96796,2022
ZCTA5 96797,104590,4.3,20.0,2.9,72605,96797,2022
ZCTA5 96813,86355,4.3,19.5,3.4,25957,96813,2022
ZCTA5 96814,74221,4.8,21.4,5.3,22723,96814,2022
ZCTA5 96815,72317,5.9,23.7,3.1,27010,96815,2022
ZCTA5 96816,110030,3.4,25.2,2.9,50793,96816,2022
ZCTA5 96817,73264,6.1,24.2,2.8,55316,96817,2022
ZCTA5 96818,94367,5.1,12.0,7.1,57938,96818,2022
ZCTA5 96819,97659,5.3,17.7,4.0,52328,96819,2022
ZCTA5 96820,-666666666,-666666666.0,-666666666.0,-666666666.0,0,96820,2022
ZCTA5 96821,158665,3.3,29.1,1.0,18802,96821,2022
ZCTA5 96822,91312,6.0,23.0,2.8,45038,96822,2022
ZCTA5 96825,148536,4.1,27.3,4.0,30444,96825,2022
ZCTA5 96826,63968,4.2,21.9,3.7,30068,96826,2022
ZCTA5 96848,-666666666,4.9,0.0,4.9,467,96848,2022
ZCTA5 96850,-666666666,-666666666.0,-666666666.0,-666666666.0,0,96850,2022
ZCTA5 96853,-666666666,-666666666.0,0.0,7.3,522,96853,2022
ZCTA5 96857,-666666666,0.0,0.0,13.1,4620,96857,2022
ZCTA5 96858,-666666666,-666666666.0,0.0,10.9,312,96858,2022
ZCTA5 96859,-666666666,-666666666.0,-666666666.0,-666666666.0,0,96859,2022
ZCTA5 96860,-666666666,0.0,0.0,11.6,4009,96860,2022
ZCTA5 96863,-666666666,0.0,0.0,11.7,2530,96863,2022
