NAME,Median_Household_Income,Unemployment_Rate_Pct,Pct_Over_65,Pct_Native_Hawaiian_PI,Total_Population,state,zip code tabulation area,Year
ZCTA5 96713,55357,3.7,25.8,0.0,1160,15,96713,2019
ZCTA5 96729,42857,5.4,13.9,5.7,1190,15,96729,2019
ZCTA5 96762,96792,6.5,5.4,5.9,6182,15,96762,2019
ZCTA5 96773,-666666666,0.0,22.4,0.0,125,15,96773,2019
ZCTA5 96783,42375,1.5,24.7,7.1,1568,15,96783,2019
ZCTA5 96792,66766,11.2,12.2,17.3,49971,15,96792,2019
ZCTA5 96704,52708,7.9,19.9,14.3,8049,15,96704,2019
ZCTA5 96716,75417,4.5,20.1,10.5,2995,15,96716,2019
ZCTA5 96720,63335,5.8,20.2,11.8,48339,15,96720,2019
ZCTA5 96725,74276,5.8,19.3,16.5,2888,15,96725,2019
ZCTA5 96732,83547,3.3,17.7,10.6,29075,15,96732,2019
ZCTA5 96734,102242,4.1,15.7,10.7,51511,15,96734,2019
ZCTA5 96749,54094,5.3,18.4,11.3,17308,15,96749,2019
ZCTA5 96755,75746,5.3,19.3,19.9,3018,15,96755,2019
ZCTA5 96756,68889,5.7,21.8,14.3,6285,15,96756,2019
ZCTA5 96769,43906,6.8,24.7,9.7,352,15,96769,2019
ZCTA5 96774,48819,15.6,34.5,0.0,281,15,96774,2019
ZCTA5 96778,39418,14.0,20.2,20.5,14885,15,96778,2019
ZCTA5 96779,104583,5.0,14.1,13.6,2522,15,96779,2019
ZCTA5 96786,63565,7.7,10.0,20.4,43488,15,96786,2019
ZCTA5 96797,93034,3.3,17.0,7.6,73579,15,96797,2019
ZCTA5 96826,51649,3.1,18.3,7.8,31445,15,96826,2019
ZCTA5 96708,86950,5.9,17.2,15.1,11059,15,96708,2019
ZCTA5 96710,-666666666,0.0,40.8,0.0,277,15,96710,2019
ZCTA5 96737,15654,22.7,10.3,24.2,5011,15,96737,2019
ZCTA5 96747,70417,2.0,20.1,5.9,975,15,96747,2019
ZCTA5 96757,-666666666,1.9,34.6,5.6,503,15,96757,2019
ZCTA5 96759,-666666666,0.0,55.9,0.0,315,15,96759,2019
ZCTA5 96764,65000,7.0,18.6,15.4,609,15,96764,2019
ZCTA5 96780,31792,5.7,22.4,6.9,607,15,96780,2019
ZCTA5 96790,79390,2.5,22.0,8.0,9613,15,96790,2019
ZCTA5 96816,90788,2.3,23.5,5.3,49834,15,96816,2019
ZCTA5 96822,77275,4.2,22.2,6.5,46690,15,96822,2019
ZCTA5 96796,83523,5.8,25.9,7.1,1865,15,96796,2019
