NAME,Median_Household_Income,Unemployment_Rate_Pct,Pct_Over_65,Pct_Native_Hawaiian_PI,Total_Population,state,zip code tabulation area,Year
ZCTA5 96815,63773,3.6,20.8,5.8,25261,15,96815,2019
ZCTA5 96703,69615,3.9,17.2,10.1,2245,15,96703,2019
ZCTA5 96706,105161,2.9,11.6,12.8,74592,15,96706,2019
ZCTA5 96714,38710,10.5,27.2,10.6,896,15,96714,2019
ZCTA5 96717,85365,6.1,13.8,11.4,4708,15,96717,2019
ZCTA5 96722,66912,2.9,30.1,11.3,1908,15,96722,2019
ZCTA5 96727,59937,9.9,25.4,18.3,4540,15,96727,2019
ZCTA5 96730,74792,4.2,16.6,8.3,1270,15,96730,2019
ZCTA5 96731,82792,4.8,17.0,6.0,2960,15,96731,2019
ZCTA5 96740,79506,3.5,21.0,9.5,42069,15,96740,2019
ZCTA5 96701,94541,3.4,19.7,8.2,40857,15,96701,2019
ZCTA5 96705,86250,0.8,13.3,10.9,3081,15,96705,2019
ZCTA5 96742,69375,0.0,16.7,3.0,66,15,96742,2019
ZCTA5 96746,89212,4.9,18.8,10.6,19729,15,96746,2019
ZCTA5 96751,49009,0.0,35.9,7.8,103,15,96751,2019
ZCTA5 96752,87305,2.4,16.0,17.2,3559,15,96752,2019
ZCTA5 96753,79074,4.2,18.7,10.1,28737,15,96753,2019
ZCTA5 96795,92321,3.9,18.0,10.8,9642,15,96795,2019
ZCTA5 96814,63283,1.2,21.8,4.3,20035,15,96814,2019
ZCTA5 96748,41705,3.1,24.9,4.7,3892,15,96748,2019
ZCTA5 96782,93832,2.8,23.2,11.0,38000,15,96782,2019
ZCTA5 96789,102228,2.6,16.8,10.3,53485,15,96789,2019
ZCTA5 96813,74170,2.1,19.0,7.6,25446,15,96813,2019
ZCTA5 96825,126346,2.4,24.4,5.8,29066,15,96825,2019
ZCTA5 96707,105278,5.9,9.8,12.7,46928,15,96707,2019
ZCTA5 96741,88424,5.6,22.1,14.1,6377,15,96741,2019
ZCTA5 96743,90441,5.1,19.5,6.6,14856,15,96743,2019
ZCTA5 96760,52375,5.2,19.9,13.1,2998,15,96760,2019
ZCTA5 96768,84722,3.3,16.8,10.7,18529,15,96768,2019
ZCTA5 96770,29167,8.6,31.7,6.4,624,15,96770,2019
ZCTA5 96771,36395,12.7,16.5,20.4,7968,15,96771,2019
ZCTA5 96772,51756,12.8,26.4,10.5,2835,15,96772,2019
ZCTA5 96777,66034,6.8,17.1,25.1,2026,15,96777,2019
ZCTA5 96793,87987,5.0,14.4,11.8,34036,15,96793,2019
ZCTA5 96750,64620,1.3,25.8,5.8,3428,15,96750,2019
ZCTA5 96819,81727,5.6,16.8,9.5,52981,15,96819,2019
ZCTA5 96863,-666666666,-666666666.0,0.0,21.3,47,15,96863,2019
ZCTA5 96766,84663,2.3,18.0,10.2,17929,15,96766,2019
ZCTA5 96719,65324,12.7,29.8,10.3,1440,15,96719,2019
ZCTA5 96791,83889,3.7,16.3,15.1,7350,15,96791,2019
ZCTA5 96744,110939,2.9,21.6,7.9,51601,15,96744,2019
ZCTA5 96817,65231,4.1,22.9,7.3,56144,15,96817,2019
ZCTA5 96726,78854,0.0,14.1,5.3,475,15,96726,2019
ZCTA5 96765,70673,0.0,8.5,12.9,201,15,96765,2019
ZCTA5 96850,-666666666,-666666666.0,-666666666.0,-666666666.0,0,15,96850,2019
ZCTA5 96853,-666666666,0.0,0.0,15.5,606,15,96853,2019
ZCTA5 96857,-666666666,0.0,0.0,19.6,2826,15,96857,2019
ZCTA5 96859,-666666666,-666666666.0,0.0,23.5,102,15,96859,2019
ZCTA5 96860,-666666666,0.0,0.0,17.5,2214,15,96860,2019
ZCTA5 96712,96297,2.7,16.8,6.5,7407,15,96712,2019
ZCTA5 96728,70208,3.6,17.1,13.5,520,15,96728,2019
ZCTA5 96738,74869,3.4,16.0,14.0,7001,15,96738,2019
ZCTA5 96754,89471,0.9,16.6,5.1,3269,15,96754,2019
ZCTA5 96761,79873,3.7,16.4,15.8,22301,15,96761,2019
ZCTA5 96763,55464,2.0,25.4,7.2,2730,15,96763,2019
ZCTA5 96776,50000,4.1,27.3,9.2,1458,15,96776,2019
ZCTA5 96781,57143,1.4,22.5,22.0,1258,15,96781,2019
ZCTA5 96785,55731,7.3,28.7,14.8,3622,15,96785,2019
ZCTA5 96818,79653,4.9,10.9,12.4,59679,15,96818,2019
ZCTA5 96821,143032,1.5,29.2,1.6,18599,15,96821,2019
