NAME,Median_Household_Income,Unemployment_Rate_Pct,Pct_Over_65,Pct_Native_Hawaiian_PI,Total_Population,zip code tabulation area,Year
ZCTA5 96701,101728,4.5,21.6,8.9,41818,96701,2021
ZCTA5 96703,79063,5.0,18.5,12.0,2844,96703,2021
ZCTA5 96704,67845,7.2,22.9,16.8,8391,96704,2021
ZCTA5 96705,92083,0.5,12.4,11.7,2382,96705,2021
ZCTA5 96706,110197,3.8,10.5,14.7,81658,96706,2021
ZCTA5 96707,114355,5.4,11.0,12.5,49903,96707,2021
ZCTA5 96708,85941,6.0,17.1,19.4,11213,96708,2021
ZCTA5 96710,-666666666,28.7,36.1,28.6,294,96710,2021
ZCTA5 96712,85600,6.0,22.0,6.8,7294,96712,2021
ZCTA5 96713,50486,15.8,22.2,0.9,938,96713,2021
ZCTA5 96714,102708,8.1,23.0,0.0,1289,96714,2021
ZCTA5 96716,81547,5.5,15.5,4.9,2488,96716,2021
ZCTA5 96717,90592,4.6,11.7,16.1,5390,96717,2021
ZCTA5 96719,73125,14.8,29.2,15.1,1252,96719,2021
ZCTA5 96720,69984,6.7,20.7,12.7,49886,96720,2021
ZCTA5 96722,79922,8.9,29.1,19.1,2093,96722,2021
ZCTA5 96725,76450,5.0,24.8,9.1,4054,96725,2021
ZCTA5 96726,-666666666,0.0,100.0,0.0,23,96726,2021
ZCTA5 96727,61335,15.2,21.3,13.1,4572,96727,2021
ZCTA5 96728,65625,3.9,22.7,6.0,418,96728,2021
ZCTA5 96729,40000,3.2,18.0,5.1,1330,96729,2021
ZCTA5 96730,109750,4.5,12.7,13.8,1418,96730,2021
ZCTA5 96731,84154,4.9,15.3,9.3,2893,96731,2021
ZCTA5 96732,85890,4.7,19.1,9.1,26361,96732,2021
ZCTA5 96734,117546,4.3,16.2,11.7,52619,96734,2021
ZCTA5 96737,25402,15.9,16.0,14.1,3851,96737,2021
ZCTA5 96738,84063,9.3,16.2,14.0,7899,96738,2021
ZCTA5 96740,81689,3.9,20.9,9.9,40931,96740,2021
ZCTA5 96741,87536,5.7,21.2,15.0,6150,96741,2021
