NAME,Median_Household_Income,Unemployment_Rate_Pct,Pct_Over_65,Pct_Native_Hawaiian_PI,Total_Population,zip code tabulation area,Year
ZCTA5 96742,79583,0.0,20.8,8.3,48,96742,2021
ZCTA5 96743,92007,6.0,21.6,8.2,13386,96743,2021
ZCTA5 96744,121756,3.8,22.6,10.9,54537,96744,2021
ZCTA5 96746,93188,4.7,20.8,11.3,20810,96746,2021
ZCTA5 96747,78017,1.9,17.5,1.5,1476,96747,2021
ZCTA5 96748,56111,10.8,22.5,9.2,4251,96748,2021
ZCTA5 96749,71667,4.2,24.1,11.8,17738,96749,2021
ZCTA5 96750,71667,2.8,23.4,10.6,3719,96750,2021
ZCTA5 96751,80208,0.0,42.1,5.3,133,96751,2021
ZCTA5 96752,74722,0.4,19.0,17.3,3214,96752,2021
ZCTA5 96753,83322,6.4,20.5,12.7,29547,96753,2021
ZCTA5 96754,85341,3.6,20.4,7.0,4111,96754,2021
ZCTA5 96755,81495,6.3,30.4,27.5,3210,96755,2021
ZCTA5 96756,81806,7.4,22.5,12.6,5939,96756,2021
ZCTA5 96757,55337,10.6,29.7,4.0,694,96757,2021
ZCTA5 96759,-666666666,0.0,30.7,0.0,261,96759,2021
ZCTA5 96760,78750,6.2,22.9,16.9,3788,96760,2021
ZCTA5 96761,90000,7.0,16.9,14.6,23473,96761,2021
ZCTA5 96762,100585,8.1,4.8,4.9,6867,96762,2021
ZCTA5 96763,61884,1.4,22.8,5.1,3126,96763,2021
ZCTA5 96764,62833,12.0,20.3,26.5,533,96764,2021
ZCTA5 96765,74423,22.5,19.2,22.6,689,96765,2021
ZCTA5 96766,84539,2.6,19.5,11.4,17420,96766,2021
ZCTA5 96768,101070,3.2,18.5,12.2,18497,96768,2021
ZCTA5 96769,46250,5.9,13.0,34.4,346,96769,2021
ZCTA5 96770,44318,18.5,30.3,3.0,435,96770,2021
ZCTA5 96771,46063,11.9,14.6,21.3,6770,96771,2021
ZCTA5 96772,54474,8.2,26.7,17.6,2576,96772,2021
ZCTA5 96773,55417,0.0,23.4,0.0,167,96773,2021
ZCTA5 96774,51250,25.9,60.0,0.0,180,96774,2021
ZCTA5 96776,60921,3.8,25.9,17.0,1323,96776,2021
ZCTA5 96777,53750,14.4,16.4,34.4,2418,96777,2021
ZCTA5 96778,40240,13.8,20.3,19.2,14777,96778,2021
ZCTA5 96779,113025,10.1,14.7,9.9,2579,96779,2021
ZCTA5 96780,-666666666,12.4,24.3,0.0,580,96780,2021
ZCTA5 96781,61845,3.5,19.8,10.9,1200,96781,2021
ZCTA5 96782,97925,3.1,23.9,9.7,37992,96782,2021
ZCTA5 96783,59853,10.9,14.1,13.0,1747,96783,2021
ZCTA5 96785,65191,2.2,27.7,18.5,4785,96785,2021
ZCTA5 96786,73057,6.4,10.7,18.0,43042,96786,2021
ZCTA5 96789,110840,2.8,18.0,10.4,55249,96789,2021
ZCTA5 96790,87262,6.9,20.7,11.0,9375,96790,2021
ZCTA5 96791,83298,4.4,21.3,14.6,7010,96791,2021
ZCTA5 96792,74914,11.5,12.6,17.2,52829,96792,2021
ZCTA5 96793,96695,5.0,16.4,10.7,32749,96793,2021
ZCTA5 96795,107222,4.2,17.6,12.1,9815,96795,2021
ZCTA5 96796,91339,6.6,24.5,9.9,1863,96796,2021
ZCTA5 96797,97875,4.0,18.5,8.3,72943,96797,2021
ZCTA5 96813,83804,4.1,20.5,8.2,25292,96813,2021
ZCTA5 96814,64635,4.3,21.5,7.7,22880,96814,2021
ZCTA5 96815,67383,5.6,23.2,5.0,26608,96815,2021
ZCTA5 96816,98059,2.8,23.7,4.9,51526,96816,2021
ZCTA5 96817,67086,6.2,23.8,5.8,54183,96817,2021
ZCTA5 96818,87175,5.2,11.2,12.5,59703,96818,2021
ZCTA5 96819,90678,5.9,16.8,8.4,51712,96819,2021
ZCTA5 96820,-666666666,-666666666.0,-666666666.0,-666666666.0,0,96820,2021
ZCTA5 96821,152363,3.8,27.4,2.9,19250,96821,2021
ZCTA5 96822,83946,6.1,21.3,6.5,48037,96822,2021
ZCTA5 96825,130964,4.3,26.3,7.4,30621,96825,2021
ZCTA5 96826,63067,3.4,20.3,7.9,30592,96826,2021
ZCTA5 96848,-666666666,12.3,0.0,1.7,766,96848,2021
ZCTA5 96850,-666666666,-666666666.0,-666666666.0,-666666666.0,0,96850,2021
ZCTA5 96853,-666666666,-666666666.0,0.0,16.9,461,96853,2021
ZCTA5 96857,-666666666,0.0,0.0,17.8,4140,96857,2021
ZCTA5 96858,-666666666,-666666666.0,0.0,14.8,250,96858,2021
ZCTA5 96859,-666666666,-666666666.0,-666666666.0,-666666666.0,0,96859,2021
ZCTA5 96860,-666666666,0.0,0.0,20.0,3388,96860,2021
ZCTA5 96863,-666666666,0.0,0.0,24.1,2220,96863,2021
