NAME,Median_Household_Income,Unemployment_Rate_Pct,Pct_Over_65,Pct_Native_Hawaiian_PI,Total_Population,state,zip code tabulation area,Year
ZCTA5 96742,61875,0.0,16.0,2.7,75,15,96742,2018
ZCTA5 96746,83434,4.9,18.7,8.9,19324,15,96746,2018
ZCTA5 96751,46019,0.0,40.6,8.7,69,15,96751,2018
ZCTA5 96752,78487,2.4,14.7,17.1,3572,15,96752,2018
ZCTA5 96753,72050,4.8,17.4,12.2,27649,15,96753,2018
ZCTA5 96795,86324,3.2,15.7,9.7,9988,15,96795,2018
ZCTA5 96814,63495,1.4,21.2,4.5,19527,15,96814,2018
ZCTA5 96822,73024,4.5,22.1,6.0,46645,15,96822,2018
ZCTA5 96796,64500,7.5,26.8,6.0,1952,15,96796,2018
ZCTA5 96815,61735,3.9,20.1,5.8,25268,15,96815,2018
ZCTA5 96748,49896,2.2,23.4,3.6,4380,15,96748,2018
ZCTA5 96782,87651,2.9,22.3,11.1,38335,15,96782,2018
ZCTA5 96789,98499,3.1,15.8,10.4,53734,15,96789,2018
ZCTA5 96813,74355,1.9,20.0,7.9,25219,15,96813,2018
ZCTA5 96825,118571,2.6,24.3,5.4,29375,15,96825,2018
ZCTA5 96712,89241,3.2,16.4,8.1,7575,15,96712,2018
ZCTA5 96728,70119,3.3,18.1,10.4,453,15,96728,2018
ZCTA5 96738,73891,2.8,17.3,10.2,6728,15,96738,2018
ZCTA5 96754,87179,1.3,17.4,4.1,3112,15,96754,2018
ZCTA5 96761,79071,4.0,16.1,15.6,23223,15,96761,2018
ZCTA5 96763,53589,3.7,23.3,5.7,2826,15,96763,2018
ZCTA5 96776,45598,4.5,26.5,10.9,1302,15,96776,2018
ZCTA5 96781,53179,1.2,28.4,23.0,1229,15,96781,2018
ZCTA5 96785,39784,3.5,20.8,9.3,3322,15,96785,2018
ZCTA5 96818,75917,4.5,11.0,11.0,59482,15,96818,2018
ZCTA5 96821,134892,1.6,27.0,2.9,18539,15,96821,2018
ZCTA5 96713,-666666666,4.4,23.8,0.0,1201,15,96713,2018
ZCTA5 96729,41375,5.9,16.2,3.0,1191,15,96729,2018
ZCTA5 96762,100341,6.9,5.1,7.1,6686,15,96762,2018
ZCTA5 96773,73750,0.0,32.2,0.0,59,15,96773,2018
ZCTA5 96783,41875,3.2,25.3,8.7,1645,15,96783,2018
ZCTA5 96792,64059,13.2,12.0,18.8,50127,15,96792,2018
ZCTA5 96704,52714,8.0,19.7,7.1,7871,15,96704,2018
ZCTA5 96716,74776,4.5,18.5,14.6,2982,15,96716,2018
ZCTA5 96720,59878,5.9,19.5,10.6,49405,15,96720,2018
ZCTA5 96725,70906,5.9,17.6,15.4,2984,15,96725,2018
ZCTA5 96732,81329,4.0,17.0,9.5,29668,15,96732,2018
ZCTA5 96734,101605,4.7,15.6,10.9,50386,15,96734,2018
ZCTA5 96749,54355,4.8,17.7,15.4,17484,15,96749,2018
ZCTA5 96755,67203,6.5,18.4,17.3,3010,15,96755,2018
ZCTA5 96756,70313,5.0,21.7,14.3,6206,15,96756,2018
ZCTA5 96769,43897,8.8,27.6,4.1,294,15,96769,2018
ZCTA5 96774,-666666666,0.0,20.4,0.0,181,15,96774,2018
ZCTA5 96778,37417,13.4,19.3,21.3,15125,15,96778,2018
ZCTA5 96779,101014,2.4,12.2,12.1,2708,15,96779,2018
ZCTA5 96786,62688,8.3,9.7,16.7,44271,15,96786,2018
ZCTA5 96797,90993,3.7,15.8,7.7,74262,15,96797,2018
ZCTA5 96826,50400,3.1,18.5,6.2,31945,15,96826,2018
ZCTA5 96708,86117,3.8,17.4,10.9,10243,15,96708,2018
ZCTA5 96710,-666666666,0.0,28.5,0.0,246,15,96710,2018
ZCTA5 96737,16884,21.3,11.9,22.0,4926,15,96737,2018
ZCTA5 96747,58182,6.3,23.0,11.4,874,15,96747,2018
ZCTA5 96757,42917,3.8,28.1,4.5,580,15,96757,2018
