NAME,Median_Household_Income,Unemployment_Rate_Pct,Pct_Over_65,Pct_Native_Hawaiian_PI,Total_Population,state,zip code tabulation area,Year
ZCTA5 96759,43649,-666666666.0,78.6,0.0,360,15,96759,2018
ZCTA5 96764,53553,8.8,21.8,17.1,592,15,96764,2018
ZCTA5 96780,-666666666,3.9,20.7,16.6,700,15,96780,2018
ZCTA5 96790,78664,4.0,20.1,8.9,9776,15,96790,2018
ZCTA5 96816,85164,2.9,23.4,5.5,49664,15,96816,2018
ZCTA5 96707,100739,6.1,9.2,12.9,47958,15,96707,2018
ZCTA5 96741,89844,4.6,21.1,18.3,6284,15,96741,2018
ZCTA5 96743,88416,6.2,19.6,6.0,14496,15,96743,2018
ZCTA5 96760,58992,3.7,16.6,17.6,2917,15,96760,2018
ZCTA5 96768,80463,4.0,16.5,11.7,18155,15,96768,2018
ZCTA5 96770,23125,8.7,25.8,6.0,597,15,96770,2018
ZCTA5 96771,36487,7.2,16.8,20.5,7934,15,96771,2018
ZCTA5 96772,48125,11.8,24.2,10.2,2472,15,96772,2018
ZCTA5 96777,50000,7.6,18.4,25.9,2061,15,96777,2018
ZCTA5 96793,81702,5.8,14.2,11.8,33074,15,96793,2018
ZCTA5 96750,64159,3.1,22.9,7.3,3370,15,96750,2018
ZCTA5 96819,80546,5.4,15.7,9.8,53886,15,96819,2018
ZCTA5 96863,-666666666,-666666666.0,0.0,19.6,46,15,96863,2018
ZCTA5 96766,78876,2.9,16.8,9.0,18272,15,96766,2018
ZCTA5 96719,64958,10.5,22.4,9.4,1702,15,96719,2018
ZCTA5 96791,81212,4.5,16.2,15.1,7715,15,96791,2018
ZCTA5 96744,106174,3.2,21.2,8.1,51692,15,96744,2018
ZCTA5 96817,61384,4.3,22.8,7.5,56496,15,96817,2018
ZCTA5 96726,-666666666,0.0,14.8,9.8,480,15,96726,2018
ZCTA5 96765,72647,0.0,11.9,21.9,360,15,96765,2018
ZCTA5 96850,-666666666,-666666666.0,-666666666.0,-666666666.0,0,15,96850,2018
ZCTA5 96853,-666666666,0.0,0.0,12.5,599,15,96853,2018
ZCTA5 96857,-666666666,0.0,0.0,19.3,2815,15,96857,2018
ZCTA5 96859,-666666666,-666666666.0,0.0,24.3,111,15,96859,2018
ZCTA5 96860,-666666666,0.0,0.0,14.3,2203,15,96860,2018
ZCTA5 96703,59833,4.2,16.3,10.7,2087,15,96703,2018
ZCTA5 96706,101147,3.4,11.2,13.2,72799,15,96706,2018
ZCTA5 96714,39000,10.8,25.8,10.8,907,15,96714,2018
ZCTA5 96717,84013,5.0,11.5,11.7,5148,15,96717,2018
ZCTA5 96722,73242,2.3,27.1,10.3,2213,15,96722,2018
ZCTA5 96727,60707,8.6,22.4,14.2,5270,15,96727,2018
ZCTA5 96730,80625,3.9,14.4,8.7,1359,15,96730,2018
ZCTA5 96731,83068,2.2,16.6,5.6,2984,15,96731,2018
ZCTA5 96740,76296,3.1,19.9,11.1,39694,15,96740,2018
ZCTA5 96701,95223,3.3,19.7,8.7,40439,15,96701,2018
ZCTA5 96705,79000,1.2,14.4,12.6,2869,15,96705,2018
